year,incidents,victims,offender_records,fatal_victims,fatal_incidents,victims_per_incident,is_complete_year
2006,1566,1881,1897,349,340,1.2011494252873562,True
2007,1442,1720,1594,319,304,1.1927877947295422,True
2008,1520,1807,1677,294,289,1.1888157894736842,True
2009,1420,1727,1538,293,280,1.2161971830985916,True
2010,1473,1775,1133,321,311,1.2050237610319077,True
2011,1510,1821,872,299,293,1.2059602649006622,True
2012,1373,1624,740,239,231,1.1828113619810634,True
2013,1103,1299,658,188,180,1.1776971894832275,True
2014,1172,1391,676,189,179,1.1868600682593857,True
2015,1138,1344,728,228,218,1.181019332161687,True
2016,997,1181,625,198,192,1.1845536609829488,True
2017,789,936,546,146,142,1.1863117870722433,True
2018,754,897,520,160,153,1.1896551724137931,True
2019,777,923,520,154,147,1.1879021879021878,True
2020,1532,1869,898,292,282,1.2199738903394255,True
2021,1562,1876,1016,325,319,1.201024327784891,True
2022,1294,1566,1121,254,248,1.2102009273570324,True
2023,974,1150,781,207,201,1.1806981519507187,True
2024,904,1103,657,180,173,1.220132743362832,True
2025,688,856,583,146,137,1.244186046511628,True
2026,322,381,265,63,60,1.1832298136645962,False
