number_of_breaks,candidate_segment_start_years,rss,bic,minimum_segment_years,delta_bic
2,2013;2020,88600.73571429373,191.88912152398734,4,0.0
2,2012;2020,90701.72619047727,192.35784607316555,4,0.46872454917820505
2,2011;2020,94668.66031746028,193.21397847625136,4,1.324856952264014
2,2010;2020,94802.70476190912,193.24227709894956,4,1.3531555749622157
1,2020,166169.64395604207,195.47930583757255,4,3.590184313585212
2,2016;2020,121179.00476190847,198.15169490884375,4,6.26257338485641
2,2014;2020,125571.25952381636,198.8637863450396,4,6.974664821052272
2,2015;2020,128006.4547619013,199.24793210650546,4,7.358810582518117
2,2018;2022,234845.7855477907,211.3848996373619,4,19.49577811337457
2,2017;2022,270599.80909091653,214.21913850166573,4,22.330016977678383
2,2017;2021,276331.40909089375,214.6383363561958,4,22.74921483220845
2,2016;2021,410594.9333333422,222.55846159385865,4,30.66934006987131
1,2021,652151.6440476249,222.82466383190436,4,30.935542307917018
2,2016;2022,440304.4761904914,223.95564787576927,4,32.06652635178193
0,none,1143543.6285714249,225.0696679811437,4,33.18054645715637
1,2019,738210.1401099099,225.30369201163927,4,33.41457048765193
2,2013;2021,522009.2047619105,227.36002272440834,4,35.470901200421
2,2015;2021,522421.60238095105,227.37581688282086,4,35.486695358833515
2,2014;2021,568703.4904761984,229.07350213568486,4,37.18438061169752
2,2012;2021,582673.6722222281,229.55886411179054,4,37.6697425878032
2,2015;2022,618320.4119047933,230.7464540763161,4,38.85733255232876
1,2018,972901.0117382669,230.82476831435173,4,38.93564679036439
1,2013,979102.0274725293,230.9518385385151,4,39.06271701452775
2,2011;2021,642764.7878787906,231.5218953586524,4,39.632773834665045
1,2016,1010962.4969696985,231.59228394327235,4,39.70316241928501
1,2022,1018191.9500000025,231.7347961828962,4,39.84567465890885
1,2017,1019081.96464647,231.752270803205,4,39.86314927921765
2,2010;2021,651085.0818181884,231.77912485111491,4,39.89000332712757
1,2015,1022815.8742424252,231.82541674982093,4,39.93629522583359
2,2012;2019,655685.9071428669,231.91995578090751,4,40.03083425692017
2,2011;2019,656041.697619067,231.93080530434924,4,40.04168378036189
2,2013;2019,656518.2976190626,231.9453295934536,4,40.056208069466265
1,2012,1029823.4989010991,231.96197560132558,4,40.072854077338235
1,2014,1031153.3793706312,231.98778628689172,4,40.09866476290438
2,2010;2019,658803.3484127172,232.01481991467986,4,40.12569839069252
2,2015;2019,684501.5761904924,232.78013724528816,4,40.89101572130082
2,2014;2019,685094.4761904933,232.7974533009531,4,40.90833177696575
2,2013;2022,701958.0055555576,233.28378991880538,4,41.39466839481804
1,2011,1105698.9011904718,233.38377955192558,4,41.49465802793824
1,2010,1130046.7029411807,233.8194062941082,4,41.93028477012086
2,2014;2022,721924.9190476029,233.84474116192862,4,41.95561963794128
2,2012;2022,826972.4242424272,236.5617452998307,4,44.67262377584336
2,2013;2018,903535.6261904788,238.33262910833454,4,46.4435075843472
2,2012;2018,903556.2309523743,238.33308519498704,4,46.44396367099969
2,2011;2018,903950.2690476214,238.34180523226468,4,46.452683708277334
2,2010;2018,906685.1190476135,238.4022227431066,4,46.51310121911925
2,2014;2018,931969.309523814,238.9523159859532,4,47.06319446196585
2,2011;2022,952839.2999999991,239.39524357783176,4,47.50612205384442
2,2013;2017,966724.9555555552,239.6845987837774,4,47.79547725979006
2,2012;2016,975535.7636363653,239.8660547218522,4,47.97693319786487
2,2012;2017,976011.2555555552,239.875800670557,4,47.98667914656966
2,2010;2017,981203.8341269845,239.98192269632224,4,48.0928011723349
2,2011;2016,981379.4636363691,239.98550225414388,4,48.09638073015654
2,2010;2016,981382.4398268368,239.98556290725648,4,48.09644138326914
2,2011;2017,981414.898412698,239.98622438330867,4,48.097102859321325
2,2011;2015,982203.2909090907,240.00228437996267,4,48.11316285597533
2,2010;2015,987455.3909090898,240.10894473683413,4,48.21982321284679
2,2010;2014,992598.0960372967,240.21283519688353,4,48.32371367289619
2,2010;2022,994145.4596736581,240.24398896999713,4,48.35486744600979
