occur_hour,fatal_incidents,share_of_fatal_incidents
0,340,0.07360900627841524
1,309,0.06689759688244208
2,274,0.05932019917731111
3,232,0.05022732193115393
4,251,0.05434076639965361
5,150,0.03247456159341849
6,67,0.014505304178393592
7,65,0.014072310023814679
8,60,0.012989824637367395
9,50,0.010824853864472829
10,66,0.014288807101104134
11,86,0.018618748646893266
12,103,0.02229919896081403
13,125,0.027062134661182072
14,145,0.03139207620697121
15,144,0.03117557912968175
16,143,0.030959082052392294
17,203,0.04394890668975969
18,241,0.05217579562675904
19,257,0.05563974886339034
20,263,0.05693873132712708
21,324,0.07014505304178394
22,391,0.08465035722017752
23,330,0.07144403550552067
