universe,event_date,categories,event_records,event_incidents,control_days,control_mean_incidents,paired_difference
Federal holiday actual dates,2006-01-01,New Year's Day,1,7,4,5.0,2.0
Federal holiday actual dates,2006-01-16,"Birthday of Martin Luther King, Jr.",1,4,6,3.0,1.0
Federal holiday actual dates,2006-02-20,Washington's Birthday,1,2,8,2.375,-0.375
Federal holiday actual dates,2006-05-29,Memorial Day,1,8,8,4.125,3.875
Federal holiday actual dates,2006-07-04,Independence Day,1,7,8,4.5,2.5
Federal holiday actual dates,2006-09-04,Labor Day,1,12,8,4.875,7.125
Federal holiday actual dates,2006-10-09,Columbus Day,1,8,8,4.25,3.75
Federal holiday actual dates,2006-11-11,Veterans Day,1,6,8,5.0,1.0
Federal holiday actual dates,2006-11-23,Thanksgiving Day,1,3,8,3.75,-0.75
Federal holiday actual dates,2006-12-25,Christmas Day,1,6,4,3.5,2.5
Federal holiday actual dates,2007-01-01,New Year's Day,1,11,3,2.6666666666666665,8.333333333333334
Federal holiday actual dates,2007-01-15,"Birthday of Martin Luther King, Jr.",1,3,5,2.2,0.7999999999999998
Federal holiday actual dates,2007-02-19,Washington's Birthday,1,0,8,2.5,-2.5
Federal holiday actual dates,2007-05-28,Memorial Day,1,4,8,4.0,0.0
Federal holiday actual dates,2007-07-04,Independence Day,1,4,8,4.125,-0.125
Federal holiday actual dates,2007-09-03,Labor Day,1,8,8,3.5,4.5
Federal holiday actual dates,2007-10-08,Columbus Day,1,7,8,3.125,3.875
Federal holiday actual dates,2007-11-11,Veterans Day,1,0,8,6.625,-6.625
Federal holiday actual dates,2007-11-22,Thanksgiving Day,1,2,8,2.625,-0.625
Federal holiday actual dates,2007-12-25,Christmas Day,1,5,4,2.0,3.0
Federal holiday actual dates,2008-01-01,New Year's Day,1,15,4,2.0,13.0
Federal holiday actual dates,2008-01-21,"Birthday of Martin Luther King, Jr.",1,5,5,1.8,3.2
Federal holiday actual dates,2008-02-18,Washington's Birthday,1,2,7,1.5714285714285714,0.4285714285714286
Federal holiday actual dates,2008-05-26,Memorial Day,1,11,8,3.625,7.375
Federal holiday actual dates,2008-07-04,Independence Day,1,9,8,4.375,4.625
Federal holiday actual dates,2008-09-01,Labor Day,1,10,8,4.375,5.625
Federal holiday actual dates,2008-10-13,Columbus Day,1,4,8,3.625,0.375
Federal holiday actual dates,2008-11-11,Veterans Day,1,5,8,3.25,1.75
Federal holiday actual dates,2008-11-27,Thanksgiving Day,1,4,7,2.0,2.0
Federal holiday actual dates,2008-12-25,Christmas Day,1,5,3,2.0,3.0
Federal holiday actual dates,2009-01-01,New Year's Day,1,6,4,1.25,4.75
Federal holiday actual dates,2009-01-19,"Birthday of Martin Luther King, Jr.",1,2,5,2.2,-0.20000000000000018
Federal holiday actual dates,2009-02-16,Washington's Birthday,1,3,7,1.7142857142857142,1.2857142857142858
Federal holiday actual dates,2009-05-25,Memorial Day,1,7,8,4.25,2.75
Federal holiday actual dates,2009-07-04,Independence Day,1,9,8,7.625,1.375
Federal holiday actual dates,2009-09-07,Labor Day,1,7,8,4.875,2.125
Federal holiday actual dates,2009-10-12,Columbus Day,1,6,8,4.125,1.875
Federal holiday actual dates,2009-11-11,Veterans Day,1,2,8,2.5,-0.5
Federal holiday actual dates,2009-11-26,Thanksgiving Day,1,5,8,2.0,3.0
Federal holiday actual dates,2009-12-25,Christmas Day,1,7,4,3.75,3.25
Federal holiday actual dates,2010-01-01,New Year's Day,1,8,4,4.0,4.0
Federal holiday actual dates,2010-01-18,"Birthday of Martin Luther King, Jr.",1,6,5,3.6,2.4
Federal holiday actual dates,2010-02-15,Washington's Birthday,1,1,7,4.0,-3.0
Federal holiday actual dates,2010-05-31,Memorial Day,1,10,8,4.125,5.875
Federal holiday actual dates,2010-07-04,Independence Day,1,10,8,10.125,-0.125
Federal holiday actual dates,2010-09-06,Labor Day,1,8,8,3.5,4.5
Federal holiday actual dates,2010-10-11,Columbus Day,1,2,8,3.0,-1.0
Federal holiday actual dates,2010-11-11,Veterans Day,1,2,7,1.8571428571428572,0.1428571428571428
Federal holiday actual dates,2010-11-25,Thanksgiving Day,1,3,7,2.2857142857142856,0.7142857142857144
Federal holiday actual dates,2010-12-25,Christmas Day,1,4,4,5.0,-1.0
Federal holiday actual dates,2011-01-01,New Year's Day,1,12,4,3.0,9.0
Federal holiday actual dates,2011-01-17,"Birthday of Martin Luther King, Jr.",1,2,6,3.0,-1.0
Federal holiday actual dates,2011-02-21,Washington's Birthday,1,2,8,2.375,-0.375
Federal holiday actual dates,2011-05-30,Memorial Day,1,13,8,2.5,10.5
Federal holiday actual dates,2011-07-04,Independence Day,1,7,8,4.125,2.875
Federal holiday actual dates,2011-09-05,Labor Day,1,8,8,5.125,2.875
Federal holiday actual dates,2011-10-10,Columbus Day,1,7,8,4.5,2.5
Federal holiday actual dates,2011-11-11,Veterans Day,1,5,8,4.625,0.375
Federal holiday actual dates,2011-11-24,Thanksgiving Day,1,6,8,2.625,3.375
Federal holiday actual dates,2011-12-25,Christmas Day,1,4,4,4.75,-0.75
Federal holiday actual dates,2012-01-01,New Year's Day,1,11,4,2.25,8.75
Federal holiday actual dates,2012-01-16,"Birthday of Martin Luther King, Jr.",1,3,6,2.3333333333333335,0.6666666666666665
Federal holiday actual dates,2012-02-20,Washington's Birthday,1,1,8,3.25,-2.25
Federal holiday actual dates,2012-05-28,Memorial Day,1,7,8,3.125,3.875
Federal holiday actual dates,2012-07-04,Independence Day,1,14,8,5.0,9.0
Federal holiday actual dates,2012-09-03,Labor Day,1,6,8,2.75,3.25
Federal holiday actual dates,2012-10-08,Columbus Day,1,2,8,2.375,-0.375
Federal holiday actual dates,2012-11-11,Veterans Day,1,7,8,4.25,2.75
Federal holiday actual dates,2012-11-22,Thanksgiving Day,1,4,8,2.5,1.5
Federal holiday actual dates,2012-12-25,Christmas Day,1,2,4,1.75,0.25
Federal holiday actual dates,2013-01-01,New Year's Day,1,10,4,3.0,7.0
