year,legacy_rows,legacy_unique_incidents,current_incidents,current_victims,legacy_rows_minus_current_victims,legacy_unique_minus_current_incidents
2006,2055,1566,1566,1881,174,0
2007,1887,1442,1442,1720,167,0
2008,1959,1520,1520,1807,152,0
2009,1828,1420,1420,1727,101,0
2010,1912,1473,1473,1775,137,0
2011,1939,1509,1510,1821,118,-1
2012,1717,1373,1373,1624,93,0
2013,1339,1103,1103,1299,40,0
2014,1464,1172,1172,1391,73,0
2015,1434,1138,1138,1344,90,0
2016,1208,997,997,1181,27,0
2017,970,789,789,936,34,0
2018,958,754,754,897,61,0
2019,967,777,777,923,44,0
2020,1948,1531,1532,1869,79,-1
2021,2011,1562,1562,1876,135,0
2022,1716,1294,1294,1566,150,0
2023,1250,974,974,1150,100,0
