universe,event_date,categories,event_records,event_incidents,control_days,control_mean_incidents,paired_difference
Championship game dates,2006-02-05,Super Bowl,1,6,8,4.5,1.5
Championship game dates,2006-06-08,NBA Finals,1,2,7,3.5714285714285716,-1.5714285714285716
Championship game dates,2006-06-11,NBA Finals,1,2,7,6.571428571428571,-4.571428571428571
Championship game dates,2006-06-13,NBA Finals,1,2,7,4.428571428571429,-2.428571428571429
Championship game dates,2006-06-15,NBA Finals,1,3,7,3.7142857142857144,-0.7142857142857144
Championship game dates,2006-06-18,NBA Finals,1,13,7,7.0,6.0
Championship game dates,2006-06-20,NBA Finals,1,6,7,5.142857142857143,0.8571428571428568
Championship game dates,2006-10-21,World Series,1,2,8,5.375,-3.375
Championship game dates,2006-10-22,World Series,1,7,8,7.125,-0.125
Championship game dates,2006-10-24,World Series,1,0,8,3.75,-3.75
Championship game dates,2006-10-25,World Series,1,5,8,3.875,1.125
Championship game dates,2006-10-26,World Series,1,2,8,3.5,-1.5
Championship game dates,2007-02-04,Super Bowl,1,1,8,3.375,-2.375
Championship game dates,2007-06-07,NBA Finals,1,5,7,4.714285714285714,0.2857142857142856
Championship game dates,2007-06-10,NBA Finals,1,7,8,6.875,0.125
Championship game dates,2007-06-12,NBA Finals,1,4,8,4.875,-0.875
Championship game dates,2007-06-14,NBA Finals,1,1,7,4.571428571428571,-3.571428571428571
Championship game dates,2007-10-24,World Series,1,3,8,3.375,-0.375
Championship game dates,2007-10-25,World Series,1,5,8,2.375,2.625
Championship game dates,2007-10-27,World Series,1,7,8,5.75,1.25
Championship game dates,2007-10-28,World Series,1,6,8,5.875,0.125
Championship game dates,2008-02-03,Super Bowl,1,4,8,3.875,0.125
Championship game dates,2008-06-05,NBA Finals,1,3,7,3.7142857142857144,-0.7142857142857144
Championship game dates,2008-06-08,NBA Finals,1,3,7,6.571428571428571,-3.571428571428571
Championship game dates,2008-06-10,NBA Finals,1,6,7,4.428571428571429,1.5714285714285712
Championship game dates,2008-06-12,NBA Finals,1,2,7,4.142857142857143,-2.1428571428571432
Championship game dates,2008-06-15,NBA Finals,1,4,7,6.285714285714286,-2.2857142857142856
Championship game dates,2008-06-17,NBA Finals,1,2,7,4.142857142857143,-2.1428571428571432
Championship game dates,2008-10-22,World Series,1,3,8,3.625,-0.625
Championship game dates,2008-10-23,World Series,1,3,8,2.125,0.875
Championship game dates,2008-10-25,World Series,1,7,8,5.5,1.5
Championship game dates,2008-10-26,World Series,1,3,8,5.0,-2.0
Championship game dates,2008-10-27,World Series,1,5,8,3.625,1.375
Championship game dates,2009-02-01,Super Bowl,1,6,8,3.5,2.5
Championship game dates,2009-06-04,NBA Finals,1,1,7,3.857142857142857,-2.857142857142857
Championship game dates,2009-06-07,NBA Finals,1,9,7,7.428571428571429,1.5714285714285712
Championship game dates,2009-06-09,NBA Finals,1,3,8,3.875,-0.875
Championship game dates,2009-06-11,NBA Finals,1,2,7,4.0,-2.0
Championship game dates,2009-06-14,NBA Finals,1,9,7,7.571428571428571,1.4285714285714288
Championship game dates,2009-10-28,World Series,1,3,7,1.8571428571428572,1.1428571428571428
Championship game dates,2009-10-29,World Series,1,2,8,3.0,-1.0
Championship game dates,2009-10-31,World Series,1,2,8,4.875,-2.875
Championship game dates,2009-11-01,World Series,1,9,8,5.125,3.875
Championship game dates,2009-11-02,World Series,1,3,8,4.0,-1.0
Championship game dates,2009-11-04,World Series,1,2,7,2.0,0.0
Championship game dates,2010-02-07,Super Bowl,1,3,8,4.125,-1.125
Championship game dates,2010-06-03,NBA Finals,1,3,6,2.6666666666666665,0.3333333333333335
Championship game dates,2010-06-06,NBA Finals,1,10,7,8.285714285714286,1.7142857142857135
Championship game dates,2010-06-08,NBA Finals,1,3,7,3.4285714285714284,-0.4285714285714284
Championship game dates,2010-06-10,NBA Finals,1,2,6,3.1666666666666665,-1.1666666666666665
Championship game dates,2010-06-13,NBA Finals,1,8,7,9.0,-1.0
Championship game dates,2010-06-15,NBA Finals,1,2,7,3.2857142857142856,-1.2857142857142856
Championship game dates,2010-06-17,NBA Finals,1,2,6,4.0,-2.0
Championship game dates,2010-10-27,World Series,1,5,8,2.5,2.5
Championship game dates,2010-10-28,World Series,1,8,8,2.0,6.0
Championship game dates,2010-10-30,World Series,1,3,8,5.25,-2.25
Championship game dates,2010-10-31,World Series,1,7,8,5.0,2.0
Championship game dates,2010-11-01,World Series,1,4,8,3.625,0.375
Championship game dates,2011-02-06,Super Bowl,1,6,8,4.25,1.75
Championship game dates,2011-05-31,NBA Finals,1,6,7,4.285714285714286,1.7142857142857144
Championship game dates,2011-06-02,NBA Finals,1,4,7,3.7142857142857144,0.2857142857142856
Championship game dates,2011-06-05,NBA Finals,1,6,7,6.571428571428571,-0.5714285714285712
Championship game dates,2011-06-07,NBA Finals,1,5,7,5.714285714285714,-0.7142857142857144
Championship game dates,2011-06-09,NBA Finals,1,5,7,3.7142857142857144,1.2857142857142856
Championship game dates,2011-06-12,NBA Finals,1,3,7,7.428571428571429,-4.428571428571429
Championship game dates,2011-10-19,World Series,1,1,7,3.857142857142857,-2.857142857142857
Championship game dates,2011-10-20,World Series,1,5,8,1.875,3.125
Championship game dates,2011-10-22,World Series,1,11,8,5.375,5.625
Championship game dates,2011-10-23,World Series,1,5,8,8.0,-3.0
Championship game dates,2011-10-24,World Series,1,4,8,4.625,-0.625
Championship game dates,2011-10-26,World Series,1,0,7,3.7142857142857144,-3.7142857142857144
Championship game dates,2011-10-28,World Series,1,7,8,4.625,2.375
Championship game dates,2012-02-05,Super Bowl,1,6,8,2.625,3.375
Championship game dates,2012-06-12,NBA Finals,1,3,7,3.0,0.0
Championship game dates,2012-06-14,NBA Finals,1,1,7,5.428571428571429,-4.428571428571429
Championship game dates,2012-06-17,NBA Finals,1,6,8,7.75,-1.75
Championship game dates,2012-06-19,NBA Finals,1,5,7,3.2857142857142856,1.7142857142857144
Championship game dates,2012-06-21,NBA Finals,1,6,7,5.142857142857143,0.8571428571428568
Championship game dates,2012-10-24,World Series,1,3,8,2.25,0.75
Championship game dates,2012-10-25,World Series,1,2,8,2.375,-0.375
Championship game dates,2012-10-27,World Series,1,6,8,4.0,2.0
Championship game dates,2012-10-28,World Series,1,3,8,5.0,-2.0
Championship game dates,2013-02-03,Super Bowl,1,0,8,3.75,-3.75
