year,coordinate_status,rows,share_within_year
2006,reversed_in_export,1566,1.0
2007,reversed_in_export,1442,1.0
2008,reversed_in_export,1520,1.0
2009,reversed_in_export,1420,1.0
2010,reversed_in_export,1473,1.0
2011,reversed_in_export,1510,1.0
2012,reversed_in_export,1373,1.0
2013,reversed_in_export,1103,1.0
2014,reversed_in_export,1172,1.0
2015,reversed_in_export,1138,1.0
2016,reversed_in_export,997,1.0
2017,reversed_in_export,789,1.0
2018,reversed_in_export,754,1.0
2019,reversed_in_export,777,1.0
2020,reversed_in_export,1532,1.0
2021,reversed_in_export,1562,1.0
2022,reversed_in_export,1294,1.0
2023,reversed_in_export,974,1.0
2024,reversed_in_export,904,1.0
2025,reversed_in_export,688,1.0
2026,as_published,321,0.9968944099378882
2026,unresolved,1,0.003105590062111801
