entity,field,status,value,count,share_of_all_records
victim,age_group,invalid_recorded_value,1022,1,3.43300490919702e-05
victim,age_group,missing_or_unknown,<MISSING>,1,3.43300490919702e-05
victim,age_group,missing_or_unknown,UNKNOWN,59,0.0020254728964262418
victim,age_group,recorded,18-24,10491,0.3601565450238594
victim,age_group,recorded,25-44,13359,0.45861512581962993
victim,age_group,recorded,45-64,1988,0.06824813759483676
victim,age_group,recorded,65+,214,0.007346630505681623
victim,age_group,recorded,<18,3016,0.10353942806138212
victim,recorded_sex,missing_or_unknown,<MISSING>,1,3.43300490919702e-05
victim,recorded_sex,missing_or_unknown,UNKNOWN,11,0.0003776305400116722
victim,recorded_sex,recorded,FEMALE,2657,0.09121494043736482
victim,recorded_sex,recorded,INTERSEX,1,3.43300490919702e-05
victim,recorded_sex,recorded,MALE,26459,0.9083387689244395
victim,recorded_race,missing_or_unknown,<MISSING>,1,3.43300490919702e-05
victim,recorded_race,missing_or_unknown,UNKNOWN,64,0.0021971231418860928
victim,recorded_race,recorded,AMERICAN INDIAN/ALASKAN NATIVE,13,0.00044629063819561263
victim,recorded_race,recorded,ASIAN / PACIFIC ISLANDER,432,0.014830581207731126
victim,recorded_race,recorded,BLACK,21048,0.7225788732877888
victim,recorded_race,recorded,BLACK HISPANIC,2736,0.09392701431563047
victim,recorded_race,recorded,WHITE,697,0.02392804421710323
victim,recorded_race,recorded,WHITE HISPANIC,4138,0.1420577431425727
offender,age_group,invalid_recorded_value,1020,1,5.250170630545493e-05
offender,age_group,invalid_recorded_value,1028,1,5.250170630545493e-05
offender,age_group,invalid_recorded_value,1822,1,5.250170630545493e-05
offender,age_group,invalid_recorded_value,2021,1,5.250170630545493e-05
offender,age_group,invalid_recorded_value,224,1,5.250170630545493e-05
offender,age_group,invalid_recorded_value,940,1,5.250170630545493e-05
offender,age_group,missing_or_unknown,<MISSING>,30,0.001575051189163648
offender,age_group,missing_or_unknown,UNKNOWN,3364,0.17661574001155037
offender,age_group,recorded,18-24,6823,0.35821914212211897
offender,age_group,recorded,25-44,6222,0.32666561663254057
offender,age_group,recorded,45-64,697,0.03659368929490209
offender,age_group,recorded,65+,61,0.0032026040846327504
offender,age_group,recorded,<18,1844,0.09681314642725888
offender,recorded_sex,missing_or_unknown,UNKNOWN,1395,0.07323988029610963
offender,recorded_sex,recorded,FEMALE,460,0.024150784900509266
offender,recorded_sex,recorded,MALE,17192,0.9026093348033811
offender,recorded_race,missing_or_unknown,UNKNOWN,1749,0.09182548432824067
offender,recorded_race,recorded,AMERICAN INDIAN/ALASKAN NATIVE,2,0.00010500341261090986
offender,recorded_race,recorded,ASIAN / PACIFIC ISLANDER,173,0.009082795190843703
offender,recorded_race,recorded,BLACK,12777,0.6708143014647976
offender,recorded_race,recorded,BLACK HISPANIC,1453,0.07628497926182601
offender,recorded_race,recorded,WHITE,289,0.015172993122276475
offender,recorded_race,recorded,WHITE HISPANIC,2604,0.13671444321940462
