PRECINCT,fatal_incidents,share_of_fatal_incidents
1,7,0.0015154795410261962
5,14,0.0030309590820523924
6,4,0.0008659883091578263
7,6,0.0012989824637367395
9,23,0.0049794327776575015
10,11,0.0023814678501840225
13,11,0.0023814678501840225
14,10,0.002164970772894566
17,2,0.00043299415457891317
18,11,0.0023814678501840225
19,7,0.0015154795410261962
20,4,0.0008659883091578263
23,65,0.014072310023814679
24,20,0.004329941545789132
25,68,0.014721801255683049
26,17,0.0036804503139207623
28,56,0.01212383632820957
30,34,0.0073609006278415245
32,113,0.024464169733708595
33,32,0.006927906473262611
34,39,0.008443386014288807
40,136,0.029443602511366098
41,72,0.015587789564840875
42,133,0.028794111279497728
43,125,0.027062134661182072
44,153,0.03312405282528686
45,36,0.0077938947824204375
46,160,0.03463953236631306
47,183,0.03961896514397056
48,123,0.02662914050660316
49,69,0.014938298332972505
50,28,0.006061918164104785
52,85,0.01840225156960381
60,62,0.013422818791946308
61,35,0.007577397705130981
62,18,0.0038969473912102187
63,47,0.01017536263260446
66,7,0.0015154795410261962
67,228,0.0493613336219961
68,6,0.0012989824637367395
69,86,0.018618748646893266
70,94,0.02035072526520892
71,88,0.01905174280147218
72,22,0.004762935700368045
73,242,0.05239229270404849
75,259,0.05607274301796926
76,29,0.006278415241394241
77,159,0.0344230352890236
78,9,0.0019484736956051094
79,164,0.03550552067547088
81,130,0.028144620047629357
83,88,0.01905174280147218
84,21,0.004546438623078589
88,57,0.012340333405499025
90,49,0.010608356787183373
94,10,0.002164970772894566
100,14,0.0030309590820523924
101,74,0.016020783719419788
102,45,0.009742368478025547
103,93,0.020134228187919462
104,18,0.0038969473912102187
105,86,0.018618748646893266
106,55,0.011907339250920112
107,22,0.004762935700368045
108,9,0.0019484736956051094
109,31,0.006711409395973154
110,32,0.006927906473262611
111,2,0.00043299415457891317
112,5,0.001082485386447283
113,144,0.03117557912968175
114,52,0.011257848019051742
115,32,0.006927906473262611
120,94,0.02035072526520892
121,16,0.0034639532366313053
122,21,0.004546438623078589
123,7,0.0015154795410261962
