model,horizon_days,origins,mae,rmse,mean_error,interval_80_coverage,best_naive_mae,mae_lift_vs_best_naive_pct,mae_lift_vs_prophet_pct,mae_rank
autoregressive_log_ridge,14,12,1.5617208804447085,2.0303588187805226,-0.5178266678353793,,1.5454931972789117,-1.050000297275216,4.978052541388924,3.0
autoregressive_log_ridge,28,12,1.4087089665288357,1.865665841649071,-0.45060618618647585,,1.4674744897959184,4.004534571177128,12.409347487767915,1.0
day_of_week_mean_365,14,12,1.635198527887207,2.0929040639571235,0.02829324763287032,,1.5454931972789117,-5.804317402770581,0.507350226980934,4.0
day_of_week_mean_365,28,12,1.4991231253023705,1.9186416923750762,0.15329324763287033,,1.4674744897959184,-2.15667364076996,6.787579364269318,4.0
dynamic_count_ensemble,14,12,1.5231356708079788,1.9786982856791713,-0.1296037930299822,0.9166666666666666,1.5454931972789117,1.4466272973764502,7.325745915211766,1.0
dynamic_count_ensemble,28,12,1.4090421408237164,1.8275411658254088,-0.019048672617756373,0.9285714285714285,1.4674744897959184,3.981830647040975,12.388631389139816,2.0
poisson_calendar,14,12,1.9065048862824006,2.3417014000454572,0.9562523790136619,,1.5454931972789117,-23.358995668121207,-16.000118460556994,6.0
poisson_calendar,28,12,1.8844866217836576,2.267015184552059,1.149414329795462,,1.4674744897959184,-28.416993609594737,-17.173537454887562,6.0
prophet,14,12,1.643537016671807,2.0365727968469316,0.6231508727441591,0.7976190476190476,1.5454931972789117,-6.343853183276203,0.0,5.0
prophet,28,12,1.6082868732278353,2.0085036743463087,0.6464248672654411,0.7857142857142857,1.4674744897959184,-9.595559201270994,0.0,5.0
rolling_mean_28,14,12,1.5454931972789117,1.9856896223855565,5.551115123125783e-17,,1.5454931972789117,0.0,5.965415953419532,2.0
rolling_mean_28,28,12,1.4674744897959184,1.8655942846494147,0.12500000000000003,,1.4674744897959184,0.0,8.755427018396666,3.0
seasonal_naive_7,14,12,2.077380952380952,2.686451364080549,0.125,,1.5454931972789117,-34.41540577716641,-26.396967717081726,7.0
seasonal_naive_7,28,12,1.9285714285714286,2.5307439817554,0.25000000000000006,,1.4674744897959184,-31.421121251629724,-19.91464089368469,7.0
