geoid,name,state,county,county_name,tract,population_acs5_2020,population_moe_acs5_2020,median_household_income_acs5_2020,median_household_income_moe_acs5_2020,incidents_2020,eligible_for_income_analysis,incidents_per_100k_2020
36005000100,"Census Tract 0001.00, Bronx County, New York",36,5,Bronx,100,6600,684,-666666666,-222222222,0,False,0.0
36005000200,"Census Tract 0002.00, Bronx County, New York",36,5,Bronx,200,4167,713,68000,21984,0,True,0.0
36005000400,"Census Tract 0004.00, Bronx County, New York",36,5,Bronx,400,5684,986,93155,12263,0,True,0.0
36005001600,"Census Tract 0016.00, Bronx County, New York",36,5,Bronx,1600,5917,719,34766,6118,0,True,0.0
36005001901,"Census Tract 0019.01, Bronx County, New York",36,5,Bronx,1901,1910,301,61711,15310,0,True,0.0
36005001902,"Census Tract 0019.02, Bronx County, New York",36,5,Bronx,1902,1334,305,53882,10884,0,True,0.0
36005001903,"Census Tract 0019.03, Bronx County, New York",36,5,Bronx,1903,0,12,-666666666,-222222222,1,False,
36005001904,"Census Tract 0019.04, Bronx County, New York",36,5,Bronx,1904,0,12,-666666666,-222222222,0,False,
36005002001,"Census Tract 0020.01, Bronx County, New York",36,5,Bronx,2001,4837,789,16534,10848,4,True,82.69588587967748
36005002002,"Census Tract 0020.02, Bronx County, New York",36,5,Bronx,2002,4768,1089,48711,37863,1,True,20.973154362416107
36005002300,"Census Tract 0023.00, Bronx County, New York",36,5,Bronx,2300,4517,588,24474,7684,4,True,88.55435023245516
36005002400,"Census Tract 0024.00, Bronx County, New York",36,5,Bronx,2400,0,12,-666666666,-222222222,0,False,
36005002500,"Census Tract 0025.00, Bronx County, New York",36,5,Bronx,2500,5694,814,27196,8483,4,True,70.24938531787846
36005002701,"Census Tract 0027.01, Bronx County, New York",36,5,Bronx,2701,2672,588,17907,2742,2,True,74.8502994011976
36005002702,"Census Tract 0027.02, Bronx County, New York",36,5,Bronx,2702,4504,667,14013,9432,0,True,0.0
36005002800,"Census Tract 0028.00, Bronx County, New York",36,5,Bronx,2800,5030,894,52068,6028,1,True,19.880715705765407
36005003100,"Census Tract 0031.00, Bronx County, New York",36,5,Bronx,3100,1858,435,42228,11185,2,True,107.64262648008611
36005003300,"Census Tract 0033.00, Bronx County, New York",36,5,Bronx,3300,3140,664,22159,7156,2,True,63.69426751592356
36005003500,"Census Tract 0035.00, Bronx County, New York",36,5,Bronx,3500,3738,853,29068,2672,1,True,26.75227394328518
36005003700,"Census Tract 0037.00, Bronx County, New York",36,5,Bronx,3700,222,102,-666666666,-222222222,1,False,450.45045045045043
36005003800,"Census Tract 0038.00, Bronx County, New York",36,5,Bronx,3800,1169,166,51442,47829,2,True,171.0863986313088
36005003900,"Census Tract 0039.00, Bronx County, New York",36,5,Bronx,3900,6736,1039,21642,13546,2,True,29.69121140142518
36005004001,"Census Tract 0040.01, Bronx County, New York",36,5,Bronx,4001,1425,268,61450,12954,0,True,0.0
36005004100,"Census Tract 0041.00, Bronx County, New York",36,5,Bronx,4100,5865,1171,22917,13034,2,True,34.10059676044331
36005004200,"Census Tract 0042.00, Bronx County, New York",36,5,Bronx,4200,7789,1307,61587,31258,2,True,25.67723712928489
36005004300,"Census Tract 0043.00, Bronx County, New York",36,5,Bronx,4300,5421,670,26276,9977,6,True,110.68068622025456
36005004400,"Census Tract 0044.00, Bronx County, New York",36,5,Bronx,4400,4401,532,15580,2798,1,True,22.722108611679165
36005004600,"Census Tract 0046.00, Bronx County, New York",36,5,Bronx,4600,1854,370,22596,18472,0,True,0.0
36005004800,"Census Tract 0048.00, Bronx County, New York",36,5,Bronx,4800,4757,621,32217,9341,0,True,0.0
36005005001,"Census Tract 0050.01, Bronx County, New York",36,5,Bronx,5001,4465,673,29806,6443,0,True,0.0
36005005002,"Census Tract 0050.02, Bronx County, New York",36,5,Bronx,5002,6291,1042,33071,8203,2,True,31.791448100460975
36005005100,"Census Tract 0051.00, Bronx County, New York",36,5,Bronx,5100,5858,1046,20439,4236,3,True,51.21201775349949
36005005200,"Census Tract 0052.00, Bronx County, New York",36,5,Bronx,5200,1879,341,19245,4739,0,True,0.0
36005005300,"Census Tract 0053.00, Bronx County, New York",36,5,Bronx,5300,5142,756,18015,2231,3,True,58.34305717619603
36005005400,"Census Tract 0054.00, Bronx County, New York",36,5,Bronx,5400,5354,955,38005,8844,0,True,0.0
36005005600,"Census Tract 0056.00, Bronx County, New York",36,5,Bronx,5600,2113,327,33625,12528,2,True,94.6521533364884
36005005902,"Census Tract 0059.02, Bronx County, New York",36,5,Bronx,5902,2635,404,31653,12593,1,True,37.95066413662239
36005006000,"Census Tract 0060.00, Bronx County, New York",36,5,Bronx,6000,1266,357,38871,5389,0,True,0.0
36005006100,"Census Tract 0061.00, Bronx County, New York",36,5,Bronx,6100,3985,625,51799,11039,1,True,25.09410288582183
36005006200,"Census Tract 0062.00, Bronx County, New York",36,5,Bronx,6200,6995,863,28614,6424,5,True,71.4796283059328
