precinct,population_2020,incidents_2020,fatal_incidents_2020,incidents_per_100k_2020,fatal_incidents_per_100k_2020
1,84799,3,1,3.5377775681317,1.1792591893772333
5,50598,3,0,5.929088106249258,0.0
6,64643,1,0,1.546957907275343,0.0
7,57985,5,0,8.622919720617402,0.0
9,75951,11,2,14.483021948361442,2.633276717883899
10,65570,3,0,4.575263077626963,0.0
13,100050,3,1,2.9985007496251876,0.9995002498750625
14,28050,3,0,10.695187165775401,0.0
17,89367,0,0,0.0,0.0
18,67528,2,1,2.961734391659756,1.480867195829878
19,220261,1,0,0.45400683734297037,0.0
20,114575,4,1,3.491162993672267,0.8727907484180667
22,129,1,0,775.1937984496124,0.0
23,74769,37,6,49.4857494416135,8.024716125667053
24,107489,9,5,8.372949790211091,4.651638772339496
25,50996,20,6,39.218762255863204,11.765628676758961
26,50002,10,1,19.99920003199872,1.9999200031998718
28,49200,19,4,38.61788617886179,8.130081300813009
30,60456,11,1,18.19505094614265,1.6540955405584228
32,81240,37,6,45.54406696208764,7.385524372230428
33,71598,9,1,12.57018352467946,1.3966870582977178
34,108608,20,3,18.414849734826163,2.7622274602239245
40,100929,55,6,54.493753034311254,5.9447730582885
41,54454,22,2,40.4010724648327,3.672824769530246
42,93755,44,10,46.93083035571436,10.6660978081169
43,188015,34,4,18.083663537483712,2.12748982793926
44,150436,49,9,32.571990746895686,5.982610545348187
45,130799,8,1,6.116254711427458,0.7645318389284322
46,132584,44,4,33.18650817594883,3.016955288722621
47,163539,46,5,28.12784718018332,3.057374693498187
48,89216,42,8,47.076757532281206,8.96700143472023
49,119881,13,4,10.84408705299422,3.3366421701520674
50,106976,7,1,6.543523781034998,0.9347891115764284
52,146888,25,4,17.01977016502369,2.7231632264037904
60,109024,12,4,11.006750807161726,3.668916935720575
61,169513,5,2,2.9496262823500263,1.1798505129400105
62,198870,3,1,1.5085231558304422,0.5028410519434806
63,112652,16,2,14.203032347406172,1.7753790434257715
66,205377,3,0,1.4607283191399232,0.0
67,162446,60,11,36.93535082427391,6.771480984450218
68,136071,2,2,1.469820902323052,1.469820902323052
69,90763,39,4,42.96905126538347,4.407082181064971
70,164568,33,7,20.052501093772786,4.253560838073015
71,102000,29,4,28.43137254901961,3.9215686274509807
72,133230,10,0,7.5058170081813405,0.0
73,98506,96,22,97.4559925283739,22.33366495441902
75,200994,102,18,50.747783515925846,8.955491208692797
76,47789,16,4,33.48050806670991,8.370127016677477
77,101267,54,18,53.324380104081285,17.774793368027098
78,73203,7,1,9.562449626381433,1.3660642323402048
79,106039,61,9,57.52600458321938,8.487443299163516
81,68921,42,7,60.9393363416085,10.156556056934752
83,120747,12,3,9.938135108946806,2.4845337772367015
84,65597,7,2,10.671219720414044,3.048919920118298
88,64372,16,5,24.855527247871745,7.7673522649599205
90,131377,22,2,16.74570130235886,1.5223364820326235
94,72748,5,0,6.873041183262771,0.0
100,50809,13,2,25.586018225117595,3.936310496171938
101,73376,39,8,53.15089402529437,10.902747492368077
102,153297,5,2,3.2616424326633915,1.3046569730653568
103,121059,41,5,33.86778347747793,4.130217497253406
104,178948,5,0,2.7941077855019336,0.0
105,199218,29,6,14.55691754761116,3.0117760443333434
106,129391,6,2,4.6371076813688745,1.5457025604562915
107,161402,4,0,2.478284036133381,0.0
108,137962,6,1,4.349023644191879,0.7248372740319798
109,269581,7,1,2.596622165508697,0.37094602364409957
110,181051,14,3,7.732627823099568,1.6569916763784789
111,122211,1,0,0.8182569490471397,0.0
112,119739,0,0,0.0,0.0
113,135221,37,5,27.362613795194534,3.697650512864126
114,208525,24,4,11.509411341565759,1.9182352235942932
115,179134,7,4,3.907689215894247,2.2329652662252837
120,122308,24,8,19.622592144422278,6.54086404814076
121,128149,13,5,10.144441236373284,3.9017081678358787
122,144552,4,1,2.7671702916597485,0.6917925729149371
123,100738,0,0,0.0,0.0
