universe,event_date,categories,event_records,event_incidents,control_days,control_mean_incidents,paired_difference
CCC-recorded NYC political crowd days,2017-01-04,Political crowd day,1,2,2,2.0,0.0
CCC-recorded NYC political crowd days,2017-01-11,Political crowd day,1,1,2,2.0,-1.0
CCC-recorded NYC political crowd days,2017-01-15,Political crowd day,1,4,3,3.3333333333333335,0.6666666666666665
CCC-recorded NYC political crowd days,2017-01-16,Political crowd day,1,3,5,1.0,2.0
CCC-recorded NYC political crowd days,2017-01-17,Political crowd day,1,2,4,1.75,0.25
CCC-recorded NYC political crowd days,2017-01-19,Political crowd day,1,0,5,1.0,-1.0
CCC-recorded NYC political crowd days,2017-01-20,Political crowd day,1,1,3,2.0,-1.0
CCC-recorded NYC political crowd days,2017-01-21,Political crowd day,1,4,2,0.5,3.5
CCC-recorded NYC political crowd days,2017-01-28,Political crowd day,1,2,3,0.6666666666666666,1.3333333333333335
CCC-recorded NYC political crowd days,2017-01-29,Political crowd day,1,2,4,2.5,-0.5
CCC-recorded NYC political crowd days,2017-02-01,Political crowd day,1,1,5,2.4,-1.4
CCC-recorded NYC political crowd days,2017-02-02,Political crowd day,1,1,6,1.0,0.0
CCC-recorded NYC political crowd days,2017-02-03,Political crowd day,1,3,5,1.6,1.4
CCC-recorded NYC political crowd days,2017-02-04,Political crowd day,1,1,3,0.6666666666666666,0.33333333333333337
CCC-recorded NYC political crowd days,2017-02-05,Political crowd day,1,2,4,0.75,1.25
CCC-recorded NYC political crowd days,2017-02-06,Political crowd day,1,1,6,0.8333333333333334,0.16666666666666663
CCC-recorded NYC political crowd days,2017-02-07,Political crowd day,1,0,6,0.8333333333333334,-0.8333333333333334
CCC-recorded NYC political crowd days,2017-02-08,Political crowd day,1,6,5,2.4,3.6
CCC-recorded NYC political crowd days,2017-02-10,Political crowd day,1,0,4,1.75,-1.75
CCC-recorded NYC political crowd days,2017-02-11,Political crowd day,1,2,2,1.0,1.0
CCC-recorded NYC political crowd days,2017-02-12,Political crowd day,1,0,4,1.25,-1.25
CCC-recorded NYC political crowd days,2017-02-14,Political crowd day,1,0,6,1.1666666666666667,-1.1666666666666667
CCC-recorded NYC political crowd days,2017-02-17,Political crowd day,1,1,3,2.0,-1.0
CCC-recorded NYC political crowd days,2017-02-18,Political crowd day,1,1,2,1.5,-0.5
CCC-recorded NYC political crowd days,2017-02-19,Political crowd day,1,4,4,1.25,2.75
CCC-recorded NYC political crowd days,2017-02-20,Political crowd day,1,5,6,1.0,4.0
CCC-recorded NYC political crowd days,2017-02-23,Political crowd day,1,1,7,1.0,0.0
CCC-recorded NYC political crowd days,2017-03-04,Political crowd day,1,2,4,1.75,0.25
CCC-recorded NYC political crowd days,2017-03-08,Political crowd day,1,5,6,2.0,3.0
CCC-recorded NYC political crowd days,2017-03-10,Political crowd day,1,1,3,1.0,0.0
CCC-recorded NYC political crowd days,2017-03-11,Political crowd day,1,1,4,1.75,-0.75
CCC-recorded NYC political crowd days,2017-03-17,Political crowd day,1,2,4,1.0,1.0
CCC-recorded NYC political crowd days,2017-03-19,Political crowd day,1,1,5,1.4,-0.3999999999999999
CCC-recorded NYC political crowd days,2017-03-20,Political crowd day,1,1,5,2.2,-1.2000000000000002
CCC-recorded NYC political crowd days,2017-03-22,Political crowd day,1,2,6,1.3333333333333333,0.6666666666666667
CCC-recorded NYC political crowd days,2017-03-24,Political crowd day,1,2,4,1.0,1.0
CCC-recorded NYC political crowd days,2017-03-26,Political crowd day,1,2,6,1.1666666666666667,0.8333333333333333
CCC-recorded NYC political crowd days,2017-03-27,Political crowd day,1,1,6,2.5,-1.5
CCC-recorded NYC political crowd days,2017-03-28,Political crowd day,1,2,6,1.6666666666666667,0.33333333333333326
CCC-recorded NYC political crowd days,2017-04-03,Political crowd day,1,3,5,2.6,0.3999999999999999
CCC-recorded NYC political crowd days,2017-04-04,Political crowd day,1,4,6,2.0,2.0
CCC-recorded NYC political crowd days,2017-04-07,Political crowd day,1,0,3,2.6666666666666665,-2.6666666666666665
CCC-recorded NYC political crowd days,2017-04-08,Political crowd day,1,3,3,2.0,1.0
CCC-recorded NYC political crowd days,2017-04-12,Political crowd day,1,0,7,1.1428571428571428,-1.1428571428571428
CCC-recorded NYC political crowd days,2017-04-13,Political crowd day,1,1,6,1.1666666666666667,-0.16666666666666674
CCC-recorded NYC political crowd days,2017-04-15,Political crowd day,1,3,4,1.75,1.25
CCC-recorded NYC political crowd days,2017-04-16,Political crowd day,1,7,5,2.4,4.6
CCC-recorded NYC political crowd days,2017-04-18,Political crowd day,1,3,5,2.0,1.0
CCC-recorded NYC political crowd days,2017-04-20,Political crowd day,1,2,6,1.3333333333333333,0.6666666666666667
CCC-recorded NYC political crowd days,2017-04-21,Political crowd day,1,0,4,2.25,-2.25
CCC-recorded NYC political crowd days,2017-04-22,Political crowd day,1,3,3,1.6666666666666667,1.3333333333333333
CCC-recorded NYC political crowd days,2017-04-29,Political crowd day,1,3,3,4.333333333333333,-1.333333333333333
