year,season,incidents,calendar_days,incidents_per_calendar_day
2006,Winter,325,90,3.611111111111111
2006,Spring,326,92,3.5434782608695654
2006,Summer,492,92,5.3478260869565215
2006,Autumn,423,91,4.648351648351649
2007,Winter,247,90,2.7444444444444445
2007,Spring,333,92,3.619565217391304
2007,Summer,483,92,5.25
2007,Autumn,379,91,4.164835164835165
2008,Winter,289,91,3.1758241758241756
2008,Spring,372,92,4.043478260869565
2008,Summer,490,92,5.326086956521739
2008,Autumn,369,91,4.054945054945055
2009,Winter,251,90,2.7888888888888888
2009,Spring,330,92,3.5869565217391304
2009,Summer,492,92,5.3478260869565215
2009,Autumn,347,91,3.8131868131868134
2010,Winter,277,90,3.077777777777778
2010,Spring,347,92,3.7717391304347827
2010,Summer,489,92,5.315217391304348
2010,Autumn,360,91,3.956043956043956
2011,Winter,279,90,3.1
2011,Spring,317,92,3.4456521739130435
2011,Summer,479,92,5.206521739130435
2011,Autumn,435,91,4.78021978021978
2012,Winter,259,91,2.8461538461538463
2012,Spring,342,92,3.717391304347826
2012,Summer,470,92,5.108695652173913
2012,Autumn,302,91,3.318681318681319
2013,Winter,222,90,2.466666666666667
2013,Spring,224,92,2.4347826086956523
2013,Summer,367,92,3.989130434782609
2013,Autumn,290,91,3.1868131868131866
2014,Winter,223,90,2.477777777777778
2014,Spring,281,92,3.0543478260869565
2014,Summer,390,92,4.239130434782608
2014,Autumn,278,91,3.0549450549450547
2015,Winter,244,90,2.7111111111111112
2015,Spring,288,92,3.130434782608696
2015,Summer,347,92,3.7717391304347827
2015,Autumn,259,91,2.8461538461538463
2016,Winter,184,91,2.021978021978022
2016,Spring,220,92,2.391304347826087
2016,Summer,336,92,3.652173913043478
2016,Autumn,257,91,2.8241758241758244
2017,Winter,165,90,1.8333333333333333
2017,Spring,183,92,1.9891304347826086
2017,Summer,241,92,2.619565217391304
2017,Autumn,200,91,2.197802197802198
2018,Winter,153,90,1.7
2018,Spring,172,92,1.8695652173913044
2018,Summer,235,92,2.5543478260869565
2018,Autumn,194,91,2.131868131868132
2019,Winter,150,90,1.6666666666666667
2019,Spring,179,92,1.9456521739130435
2019,Summer,268,92,2.9130434782608696
2019,Autumn,180,91,1.978021978021978
2020,Winter,230,91,2.5274725274725274
2020,Spring,212,92,2.3043478260869565
2020,Summer,689,92,7.489130434782608
2020,Autumn,401,91,4.406593406593407
2021,Winter,273,90,3.033333333333333
2021,Spring,419,92,4.554347826086956
2021,Summer,487,92,5.293478260869565
2021,Autumn,383,91,4.208791208791209
2022,Winter,259,90,2.8777777777777778
2022,Spring,337,92,3.6630434782608696
2022,Summer,415,92,4.510869565217392
2022,Autumn,283,91,3.10989010989011
2023,Winter,209,90,2.3222222222222224
2023,Spring,241,92,2.619565217391304
2023,Summer,304,92,3.3043478260869565
2023,Autumn,220,91,2.4175824175824174
2024,Winter,179,91,1.967032967032967
2024,Spring,212,92,2.3043478260869565
2024,Summer,272,92,2.9565217391304346
2024,Autumn,241,91,2.6483516483516483
2025,Winter,127,90,1.4111111111111112
2025,Spring,170,92,1.8478260869565217
2025,Summer,227,92,2.467391304347826
2025,Autumn,164,91,1.8021978021978022
