INCIDENT_KEY,occur_date,year,BORO,PRECINCT,latitude_clean,longitude_clean,fatal_incident
212200405,2020-04-20,2020,BROOKLYN,79,40.6961995,-73.94211757,True
139554478,2014-11-07,2014,BRONX,42,40.82948477,-73.89905912,False
167619814,2017-08-01,2017,BRONX,47,40.88306466,-73.83324993,False
212516311,2020-04-29,2020,BRONX,46,40.84756519,-73.91023649,False
270150948,2023-06-20,2023,QUEENS,108,40.74291942,-73.92539,False
167754133,2017-08-04,2017,BROOKLYN,70,40.64864805,-73.96773051,False
212640530,2020-05-02,2020,QUEENS,114,40.75396846,-73.90834136,False
300261481,2025-01-29,2025,QUEENS,114,40.77446923,-73.93260812,False
167835442,2017-08-06,2017,MANHATTAN,32,40.81094966,-73.94317377,False
139601978,2014-11-10,2014,BRONX,52,40.87105839,-73.89248769,False
10137422,2006-01-13,2006,STATEN ISLAND,120,40.62714477,-74.15663531,False
10187512,2006-01-22,2006,BRONX,47,40.89828995,-73.85386966,False
10333312,2006-02-01,2006,MANHATTAN,34,40.85132317,-73.94071384,False
10333322,2006-02-03,2006,MANHATTAN,32,40.82588892,-73.93738699,True
10411008,2006-02-10,2006,MANHATTAN,32,40.81907935,-73.94281637,False
10411017,2006-02-11,2006,MANHATTAN,23,40.79616594,-73.94764679,False
10454370,2006-02-17,2006,QUEENS,104,40.72174399,-73.92179886,False
10619051,2006-02-21,2006,BROOKLYN,71,40.66356386,-73.93160998,False
10619062,2006-02-25,2006,BROOKLYN,79,40.68767564,-73.95103126,True
10619077,2006-03-02,2006,BRONX,52,40.86350454,-73.90446662,True
10619084,2006-03-04,2006,BROOKLYN,83,40.68758672,-73.90871747,False
10713411,2006-03-20,2006,BROOKLYN,90,40.71014684,-73.94452215,False
10764207,2006-03-21,2006,BROOKLYN,71,40.66724957,-73.93544519,False
10804582,2006-03-24,2006,MANHATTAN,25,40.80630458,-73.93601832,False
10879212,2006-03-31,2006,BROOKLYN,79,40.69713353,-73.94373959,False
10904917,2006-04-04,2006,MANHATTAN,32,40.81490147,-73.94772237,False
10904922,2006-04-06,2006,MANHATTAN,23,40.7938729,-73.94509885,True
11118220,2006-04-23,2006,QUEENS,115,40.76373519,-73.87952809,False
11118221,2006-04-25,2006,BROOKLYN,79,40.69311348,-73.9521163,False
11118245,2006-05-01,2006,BROOKLYN,79,40.69440019,-73.94466507,False
11118847,2006-04-16,2006,BROOKLYN,70,40.64725793,-73.95569876,False
11118849,2006-04-16,2006,QUEENS,103,40.70723982,-73.79272673,False
12835945,2006-05-07,2006,BROOKLYN,75,40.66805753,-73.89874828,True
12835948,2006-05-07,2006,QUEENS,113,40.67998074,-73.77623391,True
15400539,2006-05-09,2006,BRONX,44,40.84349367,-73.90540253,False
15400548,2006-05-10,2006,QUEENS,109,40.78661961,-73.84015043,True
15400549,2006-05-11,2006,MANHATTAN,10,40.74238332,-74.00879236,True
15400552,2006-05-12,2006,BROOKLYN,75,40.65996291,-73.88950836,False
16631427,2006-05-17,2006,BRONX,46,40.84688662,-73.92060717,False
16631453,2006-05-22,2006,QUEENS,103,40.70021229,-73.78771033,True
16631461,2006-05-23,2006,MANHATTAN,33,40.84455408,-73.93445269,False
16631476,2006-05-27,2006,MANHATTAN,25,40.79794026,-73.93399294,False
16692680,2006-06-03,2006,QUEENS,113,40.68485082,-73.79280353,False
16692682,2006-06-05,2006,BROOKLYN,77,40.67350459,-73.95155358,False
16733758,2006-06-07,2006,BROOKLYN,61,40.59423619,-73.93684085,False
16733781,2006-06-12,2006,BROOKLYN,83,40.68850798,-73.9183582,False
16814018,2006-06-15,2006,BROOKLYN,77,40.67189368,-73.95934501,False
16814020,2006-06-15,2006,BROOKLYN,73,40.67102546,-73.90619508,False
16814040,2006-06-19,2006,MANHATTAN,28,40.80388686,-73.95409551,False
16814048,2006-06-18,2006,BROOKLYN,67,40.65162851,-73.95111898,False
16895006,2006-06-19,2006,MANHATTAN,33,40.84425448,-73.93371568,False
16895012,2006-06-21,2006,BRONX,43,40.82273479,-73.8613738,False
16895022,2006-06-23,2006,BROOKLYN,70,40.64633129,-73.95865789,True
16895023,2006-06-23,2006,BROOKLYN,76,40.68281617,-73.98764532,False
16895031,2006-06-22,2006,BROOKLYN,81,40.68048714,-73.92555358,False
23354047,2006-06-26,2006,QUEENS,109,40.75937119,-73.82236238,False
23354054,2006-06-28,2006,BROOKLYN,77,40.68041472,-73.97295378,False
23354080,2006-06-30,2006,MANHATTAN,25,40.79566582,-73.93566377,True
23354084,2006-07-01,2006,BRONX,41,40.81611959,-73.89776074,True
23354092,2006-07-04,2006,BROOKLYN,71,40.66502544,-73.95711437,False
23354102,2006-07-04,2006,QUEENS,105,40.69292514,-73.7301624,False
23354103,2006-07-05,2006,BROOKLYN,81,40.68161181,-73.92880085,False
23354119,2006-07-09,2006,BROOKLYN,63,40.63093902,-73.91848267,False
23354135,2006-07-10,2006,BROOKLYN,60,40.57915988,-74.00037223,False
23421765,2006-07-13,2006,QUEENS,113,40.67348786,-73.7915266,False
23501819,2006-07-22,2006,BRONX,44,40.84023414,-73.91768411,False
23549336,2006-07-24,2006,STATEN ISLAND,120,40.62570376,-74.16448526,True
23549341,2006-07-26,2006,BROOKLYN,73,40.67765405,-73.91311865,True
23613985,2006-07-30,2006,BROOKLYN,75,40.65690364,-73.88509476,False
23613987,2006-07-30,2006,BROOKLYN,88,40.68506083,-73.96069271,True
23749369,2006-08-05,2006,STATEN ISLAND,122,40.58966584,-74.16357198,False
23822599,2006-08-11,2006,BRONX,46,40.8300987,-73.84816554,False
23920281,2006-08-16,2006,BRONX,47,40.87871008,-73.86344487,False
23920284,2006-08-17,2006,BRONX,44,40.83338587,-73.91004603,False
23934580,2006-08-18,2006,BRONX,48,40.85209279,-73.89280029,True
24050466,2006-08-25,2006,QUEENS,104,40.72392926,-73.90756733,False
24050468,2006-08-25,2006,QUEENS,106,40.68570507,-73.8281871,False
24050478,2006-08-27,2006,BROOKLYN,69,40.63312658,-73.8889367,True
24050479,2006-08-27,2006,BROOKLYN,81,40.68592124,-73.92061854,False
24050489,2006-08-25,2006,BROOKLYN,83,40.68844153,-73.91021993,False
24103846,2006-08-31,2006,BROOKLYN,79,40.69791175,-73.94679711,False
24157447,2006-09-04,2006,BROOKLYN,71,40.65677022,-73.96013632,False
24157449,2006-09-04,2006,BROOKLYN,71,40.66815523,-73.95205492,False
24248675,2006-09-10,2006,QUEENS,105,40.70578979,-73.73963945,True
24248677,2006-09-10,2006,BRONX,43,40.81832941,-73.86129266,False
24248679,2006-09-10,2006,BROOKLYN,75,40.66692663,-73.89561034,True
24335998,2006-09-16,2006,BROOKLYN,83,40.69377507,-73.90732785,False
24360982,2006-09-17,2006,BRONX,43,40.82640994,-73.87580131,False
24360985,2006-09-17,2006,QUEENS,113,40.68257742,-73.78201566,False
24360986,2006-09-17,2006,BROOKLYN,77,40.67118732,-73.93368219,False
24378757,2006-09-18,2006,BROOKLYN,69,40.63354555,-73.90976416,False
24378766,2006-09-18,2006,BROOKLYN,73,40.68053224,-73.91536106,False
24418566,2006-09-20,2006,BROOKLYN,77,40.67140441,-73.92948586,False
138924200,2014-09-29,2014,STATEN ISLAND,120,40.63934843,-74.08613535,False
24591357,2006-10-01,2006,BRONX,47,40.87826016,-73.86596623,False
24687025,2006-10-07,2006,BROOKLYN,71,40.66431186,-73.95729145,False
24699536,2006-10-08,2006,QUEENS,102,40.68130265,-73.8631208,False
24717011,2006-10-09,2006,BROOKLYN,90,40.70439886,-73.94359641,False
24814496,2006-10-14,2006,BROOKLYN,75,40.67007749,-73.86868087,False
24913681,2006-10-22,2006,BRONX,50,40.87516772,-73.90906021,False
25078537,2006-10-31,2006,BROOKLYN,71,40.66442649,-73.93292475,False
25078539,2006-11-01,2006,BRONX,45,40.86369443,-73.82164265,False
25170414,2006-11-04,2006,BROOKLYN,70,40.64335837,-73.9577697,True
25207006,2006-11-08,2006,MANHATTAN,33,40.84519113,-73.93493638,True
25327783,2006-11-15,2006,BROOKLYN,73,40.66549826,-73.91062569,False
25344915,2006-11-17,2006,BROOKLYN,83,40.70303282,-73.92576644,False
25370563,2006-11-20,2006,QUEENS,106,40.68900088,-73.81706533,False
25466214,2006-11-25,2006,BROOKLYN,69,40.6314514,-73.89996751,False
25476051,2006-11-25,2006,BROOKLYN,75,40.67322198,-73.89138262,False
25490111,2006-11-26,2006,BRONX,46,40.84719727,-73.92134053,True
25574777,2006-12-01,2006,BROOKLYN,67,40.65479277,-73.95000303,False
25586128,2006-12-03,2006,BRONX,42,40.82897859,-73.89775905,True
25674498,2006-12-07,2006,MANHATTAN,25,40.80351928,-73.9423385,False
25674499,2006-12-08,2006,BRONX,40,40.82311245,-73.91745599,False
25738130,2006-12-12,2006,BROOKLYN,67,40.64317,-73.93141828,False
25812421,2006-12-17,2006,BROOKLYN,63,40.61266795,-73.91240004,True
25881910,2006-12-21,2006,BROOKLYN,79,40.69472542,-73.94183036,False
25896932,2006-12-22,2006,BROOKLYN,83,40.69263007,-73.92563739,True
25911846,2006-12-22,2006,BROOKLYN,75,40.66429101,-73.88626793,False
25950260,2006-12-25,2006,BROOKLYN,81,40.69285999,-73.9385144,False
26035862,2007-01-01,2007,BRONX,47,40.87937846,-73.86005151,False
26103372,2007-01-05,2007,QUEENS,114,40.76095391,-73.93224277,False
26269971,2007-01-13,2007,QUEENS,107,40.72444551,-73.75829461,False
26269974,2007-01-13,2007,BROOKLYN,81,40.68967144,-73.93040047,False
26302596,2007-01-12,2007,BROOKLYN,67,40.65944272,-73.92112581,False
26430180,2007-01-20,2007,BRONX,49,40.87035265,-73.85459634,False
26805788,2007-02-10,2007,BROOKLYN,75,40.66469186,-73.88918693,True
26884361,2007-02-14,2007,BROOKLYN,83,40.68996168,-73.91692848,False
26929480,2007-02-18,2007,BROOKLYN,81,40.69248291,-73.92729273,False
27008268,2007-02-22,2007,MANHATTAN,30,40.82677073,-73.95020624,False
27126162,2007-02-28,2007,BRONX,40,40.80650786,-73.918842,False
212640536,2020-05-03,2020,MANHATTAN,33,40.84519113,-73.93493638,False
27432646,2007-03-16,2007,QUEENS,108,40.74541848,-73.91540134,False
28234043,2007-04-02,2007,BROOKLYN,83,40.69456768,-73.90654782,False
