occur_hour,incidents,share_of_incidents_with_valid_time
0,1873,0.07808070702017675
1,1749,0.07291145572786394
2,1530,0.06378189094547274
3,1353,0.0564032016008004
4,1220,0.050858762714690676
5,633,0.026388194097048526
6,324,0.013506753376688344
7,223,0.009296314824078706
8,226,0.009421377355344339
9,218,0.009087877271969318
10,297,0.012381190595297648
11,365,0.015215941303985327
12,472,0.01967650491912623
13,557,0.023219943304985825
14,717,0.029889944972486242
15,840,0.03501750875437719
16,930,0.03876938469234617
17,944,0.03935300983825246
18,1088,0.045356011339002834
19,1314,0.05477738869434717
20,1517,0.06323995330998833
21,1726,0.07195264298816074
22,1892,0.07887276971819243
23,1980,0.08254127063531766
